time,amplitude
0.651195,3.8
0.6512,0.2
0.651205,0.28
0.65121,0.2
0.651215,0.2
0.65122,0.2
0.651225,0.2
0.65123,0.2
0.651235,0.2
0.65124,0.2
0.651245,0.2
0.65125,0.2
0.651255,0.2
0.65126,0.2
0.651265,3.8
0.65127,3.88
0.651275,3.96
0.65128,3.96
0.651285,3.88
0.65129,3.88
0.651295,0.2
0.6513,0.2
0.651305,0.2
0.65131,0.28
0.651315,0.2
0.65132,0.28
0.651325,3.88
0.65133,3.96
0.651335,3.88
0.65134,3.96
0.651345,3.88
0.65135,3.88
0.651355,3.88
0.65136,0.2
0.651365,0.2
0.65137,0.28
0.651375,0.2
0.65138,0.2
0.651385,0.2
0.65139,3.96
0.651395,3.88
0.6514,3.96
0.651405,3.88
0.65141,3.88
0.651415,3.88
0.65142,3.88
0.651425,3.96
0.65143,3.96
0.651435,3.96
0.65144,3.96
0.651445,3.88
0.65145,0.28
0.651455,0.2
0.65146,0.28
0.651465,0.2
0.65147,0.28
0.651475,0.2
0.65148,0.28
0.651485,0.2
0.65149,0.28
0.651495,0.2
0.6515,0.28
0.651505,0.2
0.65151,0.28
0.651515,3.88
0.65152,3.96
0.651525,3.8
0.65153,3.96
0.651535,3.88
0.65154,3.88
0.651545,0.2
0.65155,0.2
0.651555,0.28
0.65156,0.2
0.651565,0.28
0.65157,0.2
0.651575,3.88
0.65158,3.8
0.651585,3.8
0.65159,3.8
0.651595,3.88
0.6516,3.88
0.651605,3.96
0.65161,3.8
0.651615,3.88
0.65162,3.88
0.651625,3.88
0.65163,3.8
0.651635,3.8
0.65164,0.2
0.651645,0.28
0.65165,0.2
0.651655,0.28
0.65166,0.2
0.651665,0.2
0.65167,3.8
0.651675,3.88
0.65168,3.8
0.651685,3.88
0.65169,3.88
0.651695,3.88
0.6517,0.2
0.651705,0.12
0.65171,0.2
0.651715,0.2
0.65172,0.2
0.651725,0.2
0.65173,0.2
0.651735,3.88
0.65174,3.88
0.651745,3.96
0.65175,3.96
0.651755,3.96
0.65176,3.88
0.651765,0.2
0.65177,0.2
0.651775,0.2
0.65178,0.28
0.651785,0.2
0.65179,0.2
0.651795,0.2
0.6518,0.2
0.651805,0.12
0.65181,0.2
0.651815,0.2
0.65182,0.2
0.651825,3.96
0.65183,3.88
0.651835,4.04
0.65184,3.88
0.651845,3.96
0.65185,3.88
0.651855,3.96
0.65186,3.88
0.651865,3.88
0.65187,3.96
0.651875,3.88
0.65188,3.96
0.651885,3.88
0.65189,0.2
0.651895,0.2
0.6519,0.2
0.651905,0.2
0.65191,0.28
0.651915,0.2
0.65192,3.96
0.651925,3.88
0.65193,3.96
0.651935,3.88
0.65194,3.96
0.651945,3.88
0.65195,0.2
0.651955,0.2
0.65196,0.28
